0_Autocorrelation,0_Average power,0_Centroid,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_3,0_ECDF_7,0_ECDF_8,0_Entropy,0_Fundamental frequency,0_Interquartile range,0_Kurtosis,0_LPCC_0,0_LPCC_10,0_LPCC_2,0_LPCC_3,0_LPCC_5,0_LPCC_7,0_LPCC_9,0_MFCC_3,0_MFCC_7,0_MFCC_9,0_Max power spectrum,0_Maximum frequency,0_Mean,0_Median absolute deviation,0_Median absolute diff,0_Median frequency,0_Negative turning points,0_Positive turning points,0_Power bandwidth,0_Root mean square,0_Signal distance,0_Skewness,0_Spectral decrease,0_Spectral entropy,0_Spectral positive turning points,0_Spectral roll-off,0_Spectral roll-on,0_Spectral spread,0_Spectral variation,0_Standard deviation,0_Variance,0_Wavelet entropy,0_Wavelet variance_12000.0Hz,0_Zero crossing rate,label
16.0,657.4399966120753,1.0145379899214233,21394.0,85576.0,-0.005950927734375,0.005767822265625,9.348328051527984e-06,1.8696656103055967e-05,3.7393312206111935e-05,7.478662441222387e-05,8.413495246375186e-05,0.637239253444553,123.3979302801694,0.007781982421875,10.408016767658557,0.01612134987250587,0.8750266768260404,0.8750266768260406,0.5005547482274183,0.3055518211038902,0.3055518211038901,0.5005547482274183,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.02774377310833355,9905.937123145526,-4.655620284206701e-05,0.003875732421875,0.000640869140625,814.8750595955914,7598.0,7604.0,981.7988052836752,0.11703221161352267,106978.44262956777,-0.007654801500512035,0.0007786052332581991,0.6464835085805154,9121.0,9905.937123145526,157.5006310121435,3633.992966155607,0.020982934358299343,0.11703220235333661,0.013696536387672327,1.8677310902626758,7.026707253275709e-05,4880.0,buka
22.0,699.2151537496476,0.937931338268064,24016.0,96066.0,-0.025634765625,0.026458740234375,8.327573428378704e-06,1.665514685675741e-05,3.331029371351482e-05,6.662058742702964e-05,7.494816085540834e-05,0.748426578908978,138.7040630230757,0.040283203125,12.65158932830489,0.17422165766753545,0.7282705175357314,0.7282705175357314,0.6076997321567643,0.4418496185748967,0.4418496185748967,0.6076997321567643,62.16303827112227,91.3489434692236,129.9652659762834,0.06594495834851935,21518.71622128028,0.00011961864926563814,0.0201416015625,0.02154541015625,2650.566691371801,37832.0,37828.0,1393.835930148314,0.12069325193302652,120146.2331764231,-0.5879147043774037,0.000535918262861722,0.6097768225410894,19418.0,21518.71622128028,159.8894098248711,7340.139007734541,0.017701985604648973,0.12069319265620475,0.014566846753547757,2.0625257867279005,0.0004738558414702534,45497.0,buka
18.0,536.4994152143437,1.4669126149914524,20925.0,83700.0,-0.01422119140625,0.013702392578125,9.557853688375738e-06,1.9115707376751476e-05,3.823141475350295e-05,7.64628295070059e-05,8.602068319538165e-05,0.6582432881672703,112.40035937529869,0.00830078125,5.547799861189855,0.07561346735145094,1.4360016840868575,1.4360016840868575,0.20913951920067397,0.6634651478370742,0.6634651478370742,0.20913951920067367,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.0294419980407056,5783.801349568941,4.4357623280631726e-05,0.004119873046875,0.00048828125,729.9141704738785,5859.0,5877.0,678.9899260222126,0.10572116307290659,104629.69906743409,-0.027299454531839656,0.0009429341248057115,0.6270310419448613,14175.0,5783.801349568941,142.220862883031,1853.7012580616988,0.032317509732256444,0.1057211537673013,0.011176962353889368,1.8653276765327251,3.3305908885676445e-05,3984.0,buka
21.0,345.5985451394809,0.9956440046750485,16998.0,67993.0,-0.008819580078125,0.01007080078125,1.1765813253012049e-05,2.3531626506024098e-05,4.7063253012048195e-05,9.412650602409639e-05,0.00010589231927710844,0.5809571409077043,123.11746987951808,0.00433349609375,9.650669146551458,4.519701791208822,2.285162570988807,2.2851625709888066,0.6854057511282579,0.030498489546881835,0.030498489546881835,0.6854057511282579,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.07794031754495802,6848.832831325301,6.895862429975027e-05,0.002166748046875,0.000213623046875,851.0918674698796,3285.0,3301.0,964.0436746987953,0.08485213595960356,84994.16997065883,-0.5790530446838882,0.0009604264418022091,0.6110717631033417,12646.0,6848.832831325301,137.23644578313252,2192.616424938778,0.0446792373750069,0.08485210793854907,0.007199880221615182,1.9419383158940389,4.183817575942668e-05,4033.0,buka
17.0,1797.1904812000414,1.2812035777722732,22118.0,88473.0,-0.022613525390625,0.025909423828125,9.04224537037037e-06,1.808449074074074e-05,3.616898148148148e-05,7.233796296296296e-05,8.138020833333333e-05,0.7545100652763721,167.96875,0.019927978515625,6.2328749507232235,0.2871108993932359,0.8063219590389218,0.8063219590389218,0.10847726642749178,0.6975411625488288,0.6975411625488289,0.10847726642749185,105.26406954968269,76.56580444852744,173.39409002892523,0.12386393171933081,10363.715277777777,-0.00013309689583601775,0.00994873046875,0.005767822265625,778.2118055555555,26076.0,26046.0,710.5034722222222,0.1934971054134668,110611.99593651696,0.03804668015994156,0.000658697903422407,0.6066779832728131,16725.0,10363.715277777777,154.51388888888889,4105.746208836846,0.03999692129012189,0.19349705963814176,0.03744111208860659,1.86112327579193,0.0002010427132737941,22943.0,buka
21.0,1246.1067727333063,1.161306010911447,21504.0,86016.0,-0.01220703125,0.011932373046875,9.300595238095239e-06,1.8601190476190478e-05,3.7202380952380956e-05,7.440476190476191e-05,8.370535714285714e-05,0.6677482627788363,164.73214285714286,0.008087158203125,6.3173857806910725,0.2451692908334429,2.3559106265938103,2.3559106265938103,1.1858337033939652,0.9407127571100317,0.9407127571100313,1.1858337033939652,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.08673052699646872,1537.5,-0.00014043620654514857,0.004058837890625,0.0003662109375,537.9464285714286,1774.0,1736.0,653.125,0.16112205409762279,107524.924110349,0.27239225350890445,0.0007917795658481342,0.5897398764495546,15853.0,1537.5,145.98214285714286,656.7699701413826,0.023688274674924625,0.16112199289454304,0.02596029659430918,1.7950897013167864,5.33257279728817e-06,2743.0,buka
18.0,449.9213852967069,0.9972046932958792,17554.0,70216.0,-0.015106201171875,0.017852783203125,1.1393284797940094e-05,2.278656959588019e-05,4.557313919176038e-05,9.114627838352076e-05,0.00010253956318146085,0.6725645737209915,113.20367775233278,0.010772705078125,4.183695540257856,0.4391245744837938,1.3714823482947227,1.3714823482947227,0.15284434548039508,0.8630339324153573,0.8630339324153571,0.15284434548039486,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.07270401673213912,5514.71442731654,-3.2419472285300667e-05,0.005340576171875,0.000640869140625,713.1284820726664,5108.0,5136.0,748.6755306422396,0.09681557416188992,87773.56738214221,0.0650169953821871,0.0010533779344588684,0.6092855199348999,11953.0,5514.71442731654,142.73507194859351,1848.7809108998235,0.03684099377484329,0.09681556873392949,0.009373254349274225,1.889453357237941,3.291646512524693e-05,3127.0,buka
17.0,17.074181364048282,1.1697968116515465,18877.0,75508.0,-0.00323486328125,0.00360107421875,1.059479160044922e-05,2.118958320089844e-05,4.237916640179688e-05,8.475833280359376e-05,9.535312440404297e-05,0.548577569771062,115.4408492784947,0.002593994140625,7.067943149819566,0.28233427427274294,1.741366181444688,1.741366181444688,0.6597163239864077,0.7823170413381697,0.7823170413381698,0.6597163239864077,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.044111956104713405,1667.5354395779036,1.068370663005504e-05,0.00128173828125,9.1552734375e-05,648.4012459474923,1767.0,1700.0,733.8376454135147,0.01886023178689255,94385.10163491649,-0.41248918052221895,0.001137109662316366,0.6215223897324644,14251.0,1667.5354395779036,127.13749920539064,1011.091433763562,0.0354476623141039,0.018860228760906504,0.0003557082289137248,1.810853853566921,1.4081095645119296e-07,2864.0,buka
23.0,276.20832257043867,1.0972537035840506,23961.0,95846.0,-0.00421142578125,0.00421142578125,8.346688034188035e-06,1.669337606837607e-05,3.338675213675214e-05,6.677350427350428e-05,7.512019230769231e-05,0.6146591105694847,92.54807692307693,0.0054931640625,11.788533283658213,3.0049973361633704,2.6408312750148877,2.6408312750148877,0.40004615283620276,0.2885138288711573,0.2885138288711575,0.4000461528362028,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.06948101290496385,4913.461538461539,2.1197857000888922e-05,0.00274658203125,0.000335693359375,570.1121794871796,5868.0,5778.0,669.4711538461539,0.0758570499285962,119808.78367884987,0.16272478750113015,0.0010948690875896502,0.5976101300688839,17282.0,4913.461538461539,127.40384615384616,1576.5324402102792,0.016543736044102864,0.07585704696678083,0.005754291574520394,1.8909973411370848,1.0813444969865416e-05,4144.0,buka
17.0,480.55129216196366,1.2812272769981785,22118.0,88473.0,-0.01141357421875,0.01324462890625,9.04224537037037e-06,1.808449074074074e-05,3.616898148148148e-05,7.233796296296296e-05,8.138020833333333e-05,0.6600838005314601,167.96875,0.008544921875,6.238189738115233,0.16598505748508036,1.1837577381265028,1.1837577381265025,0.597082147641607,0.9160790459727483,0.9160790459727478,0.5970821476416069,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.12381481999034619,7576.388888888889,-6.844379283763744e-05,0.004241943359375,0.000579833984375,753.0381944444445,6080.0,6061.0,710.0694444444445,0.10005695741460491,110596.14404267151,0.037570491084204134,0.0006945803725745719,0.6062502907349371,15026.0,7576.388888888889,151.47569444444446,2154.0831569470733,0.03988992857521578,0.10005693400517168,0.010011390042515281,1.8473142583525242,5.008142996109501e-05,4524.0,buka
