mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-431.62134,120.22579,40.08647,-0.8344303,-8.540515,-14.153691,-15.1592655,-6.4274435,-0.60461515,-2.9785163,-3.8460753,0.027053665,-0.22457244,-6.3903155,-10.014596,-9.210728,-7.6421294,-4.7970176,-2.0141704,-2.5584881,-3.624027,-2.993374,-3.0373936,-2.7467463,-1.0919429,-1.6484185,-4.0150476,-4.4302793,-3.910393,-3.4429085,-1.3334546,-0.11450093,-2.8357477,-5.53488,-4.299163,-2.8176503,-4.875587,-6.630316,-4.390698,-2.5142725,buka
-216.55637,34.004528,11.791528,3.795783,-1.2781742,-6.1683335,-7.295104,-4.1681294,1.8858589,0.6155124,-3.2246737,-1.1542197,0.86579937,0.23488227,0.11309644,-0.6767691,-1.4814457,-2.4227445,-1.9029074,-0.6740924,-1.1979358,-2.0382655,-1.5366443,-1.3319725,-1.3638303,-2.5041063,-1.1665642,0.2767926,-0.6336368,-1.2719939,-1.4812273,-2.4946,-1.6969721,-0.08247281,0.2011408,-0.017955083,0.07379587,-0.39773217,-0.44166306,-0.9570739,buka
-170.92818,35.894474,13.547673,-1.8496416,-10.61328,-8.754002,-3.890553,-1.0663742,-0.55162865,-1.3339514,1.7871611,1.0570854,-4.064813,-6.596727,-7.5750647,-5.734509,-1.3412188,1.314085,-0.37093517,-2.446672,-1.2964337,-0.9465992,-2.2583585,-2.3055046,-2.4146369,-2.7548487,-2.1907678,-0.5339566,0.056651622,-2.0094976,-3.3560283,-3.626873,-3.8230238,-2.7610831,-1.7115278,-1.9270647,-2.330521,-2.338462,-1.957351,-1.6892263,buka
-365.9495,132.26637,1.3018332,9.492534,-16.391329,-21.011408,-7.59055,-6.545501,6.2989473,-7.9887843,-7.0404644,7.9331465,-3.4645562,-6.340093,-5.7138724,-8.707119,-10.636632,-9.2655525,1.2183118,-2.9313767,-7.0601554,0.055744857,-2.2429593,-2.2137854,-1.9252204,-4.6240826,-3.130518,-5.9617476,-5.240325,-1.5872155,-2.4965854,-1.3851331,-2.7761886,-5.350558,-4.0910993,-4.4517903,-5.288708,-4.612719,-4.3916235,-4.546503,buka
-400.77002,102.89554,18.625761,17.738699,0.23393553,-4.5374784,-2.1448352,-0.5098526,11.746948,1.2845277,-6.033839,0.006609702,0.20666943,-2.9842367,-8.268257,-5.416338,-4.4304366,-6.1773496,-3.6776712,-7.09806,-5.47616,-2.3942728,-4.6192765,-3.6435523,-4.5552897,-4.0710163,-4.314302,-6.5520678,-3.6495767,-3.6985357,-4.19941,-1.7400383,-2.5967367,-3.7064042,-3.4296215,-3.4580848,-4.5964284,-5.0133476,-4.6499524,-4.9854836,buka
-334.536,126.40913,-0.57268107,11.970971,-7.2802935,-17.827538,-14.727742,-6.328375,13.936952,-1.7167466,-12.285196,-0.92838764,2.4338293,-5.437644,-13.486308,-6.257074,-6.0505023,-6.9373984,-3.830001,-10.04276,-2.2448826,-1.3633144,-7.8676515,-0.02775462,-2.1750968,-3.050497,-1.4547004,-5.9545813,-1.625378,-2.1872206,-3.3021686,0.8886292,-1.9889473,-3.75583,-2.9395692,-2.8058105,-3.4719167,-4.5330873,-3.8336942,-3.6941867,buka
-146.357,44.90354,20.967215,8.511683,2.785789,-5.0592313,-10.936967,-7.716183,1.3781569,4.1112595,-1.4845284,-3.990317,-0.03917377,2.634217,-0.97099376,-5.6371593,-5.640707,-3.6317887,-3.7368257,-6.2206354,-6.2273793,-3.2739122,-3.1185403,-4.667384,-3.9871087,-1.8955768,-0.78577054,-0.31160855,-1.0355456,-1.6076567,-1.3496062,-1.9304913,-1.671043,-0.66095954,-0.2428141,-0.1689535,-0.4721101,-0.67961675,-1.3236823,-2.4329684,buka
-277.77118,48.712517,16.360182,6.650633,0.5607259,-3.406173,-2.977921,1.5156859,7.32504,2.525889,-2.2865965,1.01087,2.9978597,-1.0723517,-4.847815,-4.704917,-3.6375532,-3.371553,-3.8702822,-4.716077,-3.194003,-2.4394777,-2.7284122,-2.0772066,-2.4232657,-2.7871814,-3.580343,-4.657476,-3.5129552,-2.6972084,-2.3048809,-0.94346845,-1.4593679,-3.0857303,-2.8074317,-3.2396328,-4.431524,-4.6085167,-4.444937,-3.2525115,buka
-394.8211,135.068,-0.66858166,14.509969,-9.141165,-19.957909,-15.988977,-5.239429,13.426182,-8.92679,-9.54277,3.6188526,0.09372094,-1.6113088,-9.910441,-3.2448468,-6.181405,-14.312852,0.8261061,-3.722295,-9.337203,-0.63424444,-1.2564182,-0.38142696,-2.5159962,-2.4999402,-1.0294571,-6.697096,-4.3592944,-2.0645287,-3.5384462,-1.3260711,-1.4832307,-3.0934927,-4.049704,-2.6176608,-3.0598447,-6.288923,-3.386687,-2.4926348,buka
-393.34457,116.10765,5.6772375,4.457305,-1.3233818,-11.367513,-13.474474,-5.410479,8.819592,-0.91093487,-4.6335564,0.101217054,-1.5100896,-1.57417,-5.74244,-3.6011908,-3.403813,-6.436049,-2.313743,-7.4780927,-7.103358,1.0856817,-1.8099921,-2.683555,-1.3530716,-1.1365309,-1.3091494,-5.3466535,-3.6139672,-1.7412426,-4.687999,-3.3177571,-2.0692098,-4.08283,-3.8056386,-1.4979626,-3.395991,-6.392224,-3.991367,-3.7144318,buka
-392.1422,124.61945,3.426163,4.9070477,-2.0705504,-12.642854,-13.58439,-5.2474613,8.235282,-3.995684,-6.635958,-0.24636883,-1.4712819,-0.4323915,-4.8695335,-2.4958313,-3.4600623,-8.270083,-2.3060691,-6.676048,-7.2016444,0.9983606,-2.3177412,-3.5805342,-2.4351234,-2.2638376,-1.6956477,-4.7421956,-3.3281431,-3.1120067,-6.14107,-3.3310232,-1.7107451,-3.9252741,-3.6550043,-1.622109,-3.351771,-5.7589827,-3.6653345,-3.689297,buka
